ID;Fail;Total (ms);Filtering (ms);Timeout;Restarts;Restarting (ms);Query;In;Candidates;Out
101;success;62;62;false;0;0;CONSTRUCT { ?v3 :p2 ?v2 . ?v2 a :C9 . ?v3 :p1 ?v1 . ?v1 :p1 ?v2 . ?v1 :p3 ?v2 . ?v1 a :C7 } WHERE { ?v1 a :C1 . :a1 a :C4 . ?v2 a :C2 . :a2 a :C3 . ?v3 a :C3 };∃:p1.⊤ ⊑ ∃-:p3.:C9;164;∃:p3٭٭.⊤ ⊑ ∃:p1٭٭.:C9٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p3٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C9٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p3٭٭.:C9٭٭,:C9٭٭ ⊑ ∃-:p3٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p1٭٭.:C7٭٭,∃-:p3٭٭.⊤ ⊑ :C9٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p3٭٭.:C9٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∃:p1٭٭.:C7٭٭,∃:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C9٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p2٭٭.:C9٭٭,∃:p3٭٭.⊤ ⊑ :C7٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p1٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ :C9٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p3٭٭.:C9٭٭,:C9٭٭ ⊑ ∃-:p1٭٭.:C7٭٭,:C7٭٭ ⊑ ∃:p3٭٭.:C9٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p2٭٭.:C9٭٭,:C7٭٭ ⊑ ∃:p1٭٭.:C9٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C9٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭
102;success;31;31;false;0;0;CONSTRUCT { :a4 a :C1 . ?v4 a :C4 . :a2 a :C3 . ?v2 :p3 ?v4 . ?v4 :p3 ?v1 . ?v4 a :C5 } WHERE { ?v1 a :C1 . ?v2 :p2 ?v4 . ?v1 :p1 :a1 . ?v2 a :C2 . ?v2 a :C1 . ?v2 :p1 ?v3 };:C2 ⊑ ∃:p1.:C1;78;:C4٭٭ ⊑ :C5٭٭,:C5٭٭ ⊑ :C4٭٭
103;success;15;15;false;0;0;CONSTRUCT { ?v1 :p2 ?v2 . ?v2 a :C9 . ?v1 a :C5 . ?v2 a :C3 . ?v1 a :C7 . ?v2 a :C8 } WHERE { ?v1 a :C1 . ?v1 a :C3 . ?v2 a :C1 . ?v2 :p1 ?v1 . ?v1 a :C2 };:C8 ⊑ ∃:p2.:C8;112;:C7٭٭ ⊑ ∃:p2٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C9٭٭,:C8٭٭ ⊑ :C3٭٭,∃-:p2٭٭.⊤ ⊑ :C8٭٭,:C5٭٭ ⊑ :C7٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C3٭٭,:C5٭٭ ⊑ ∃:p2٭٭.:C3٭٭,:C8٭٭ ⊑ :C9٭٭,:C5٭٭ ⊑ ∃:p2٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C8٭٭,:C7٭٭ ⊑ :C5٭٭,:C3٭٭ ⊑ :C9٭٭,∃:p2٭٭.⊤ ⊑ :C5٭٭,∃-:p2٭٭.⊤ ⊑ :C9٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C9٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p2٭٭.:C7٭٭,:C7٭٭ ⊑ ∃:p2٭٭.:C9٭٭,:C8٭٭ ⊑ ∃-:p2٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ :C7٭٭,:C9٭٭ ⊑ ∃-:p2٭٭.:C5٭٭,:C9٭٭ ⊑ :C8٭٭,:C7٭٭ ⊑ ∃:p2٭٭.:C3٭٭,:C3٭٭ ⊑ :C8٭٭,:C3٭٭ ⊑ ∃-:p2٭٭.:C5٭٭,:C5٭٭ ⊑ ∃:p2٭٭.:C9٭٭,∃-:p2٭٭.⊤ ⊑ :C3٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C5٭٭,:C9٭٭ ⊑ :C3٭٭,:C8٭٭ ⊑ ∃-:p2٭٭.:C5٭٭,:C9٭٭ ⊑ ∃-:p2٭٭.:C7٭٭,:C3٭٭ ⊑ ∃-:p2٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C3٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p2٭٭.:C5٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C8٭٭
104;success;78;78;false;0;0;CONSTRUCT { ?v4 a :C1 . ?v3 a :C6 . ?v3 a :C5 . ?v4 a :C4 . ?v4 :p6 ?v3 . ?v1 :p5 :a1 . ?v4 :p1 ?v5 } WHERE { ?v1 a :C1 . ?v1 a :C3 . ?v2 :p3 ?v3 . ?v1 :p1 ?v2 . ?v2 :p2 ?v1 . ?v4 :p4 ?v5 . ?v3 a :C2 };∃-:p3.⊤ ⊑ ∃:p5.:C4;366;∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C1٭٭,∃:p6٭٭.⊤ ⊑ ∀-:p6٭٭.:C1٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p6٭٭.:C5٭٭,∃:p1٭٭.⊤ ⊑ :C4٭٭,:C4٭٭ ⊑ ∃:p6٭٭.:C5٭٭,:C4٭٭ ⊑ ∃:p6٭٭.:C6٭٭,∃:p6٭٭.⊤ ⊑ ∃:p6٭٭.:C5٭٭,:C6٭٭ ⊑ ∃-:p6٭٭.:C1٭٭,:C1٭٭ ⊑ ∃:p6٭٭.:C5٭٭,:C1٭٭ ⊑ ∃:p6٭٭.:C6٭٭,:C6٭٭ ⊑ ∃-:p6٭٭.:C4٭٭,:C6٭٭ ⊑ :C5٭٭,∃-:p6٭٭.⊤ ⊑ :C5٭٭,∃:p6٭٭.⊤ ⊑ ∀-:p6٭٭.:C4٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C4٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p6٭٭.:C4٭٭,∃:p1٭٭.⊤ ⊑ ∃:p6٭٭.:C5٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p1٭٭.:C1٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p6٭٭.:C6٭٭,:C1٭٭ ⊑ :C4٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p6٭٭.:C4٭٭,∃:p6٭٭.⊤ ⊑ ∀-:p1٭٭.:C1٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C4٭٭,∃-:p6٭٭.⊤ ⊑ ∀:p6٭٭.:C5٭٭,∃:p1٭٭.⊤ ⊑ :C1٭٭,∃:p6٭٭.⊤ ⊑ :C4٭٭,∃:p6٭٭.⊤ ⊑ ∀-:p1٭٭.:C4٭٭,∃:p6٭٭.⊤ ⊑ ∃:p6٭٭.:C6٭٭,∃-:p6٭٭.⊤ ⊑ ∃-:p6٭٭.:C4٭٭,∃-:p6٭٭.⊤ ⊑ :C6٭٭,∃:p1٭٭.⊤ ⊑ ∃:p6٭٭.:C6٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p6٭٭.:C6٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p1٭٭.:C4٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p6٭٭.:C5٭٭,∃-:p6٭٭.⊤ ⊑ ∃-:p6٭٭.:C1٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p6٭٭.:C1٭٭,:C5٭٭ ⊑ :C6٭٭,∃-:p6٭٭.⊤ ⊑ ∀:p6٭٭.:C6٭٭,:C4٭٭ ⊑ :C1٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C1٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p6٭٭.:C1٭٭,:C5٭٭ ⊑ ∃-:p6٭٭.:C4٭٭,∃:p6٭٭.⊤ ⊑ :C1٭٭,:C5٭٭ ⊑ ∃-:p6٭٭.:C1٭٭
105;success;15;15;false;0;0;CONSTRUCT { ?v1 a :C11 . :a2 a :C9 . ?v2 a :C7 . ?v2 :p2 ?v1 . ?v2 :p3 ?v4 } WHERE { ?v1 a :C1 . ?v2 a :C4 . ?v1 a :C5 . ?v4 a :C3 . :a1 a :C2 };:C4 ⊑ :C5;134;∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C11٭٭,:C7٭٭ ⊑ ∃:p2٭٭.:C11٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p2٭٭.:C11٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p2٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,:C11٭٭ ⊑ ∃-:p2٭٭.:C7٭٭,∃:p3٭٭.⊤ ⊑ :C7٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C7٭٭,∃:p3٭٭.⊤ ⊑ ∃:p2٭٭.:C11٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p2٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C11٭٭,∃-:p2٭٭.⊤ ⊑ :C11٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p2٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ :C7٭٭
106;success;15;15;false;0;0;CONSTRUCT { :a3 a :C4 . ?v3 :p3 ?v2 . :a2 a :C3 . ?v4 a :C7 . ?v2 a :C6 } WHERE { ?v1 a :C1 . ?v1 :p2 ?v2 . ?v4 a :C4 . ?v2 a :C1 . ?v3 a :C3 . ?v1 a :C2 . ?v2 :p1 ?v3 };∃-:p1.⊤ ⊑ ∃-:p3.:C3;78;∃-:p3٭٭.⊤ ⊑ :C6٭٭,∃:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C6٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p3٭٭.:C6٭٭
107;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C8 . ?v1 a :C5 . ?v2 a :C7 . ?v2 :p3 ?v1 . ?v2 a :C6 } WHERE { ?v1 a :C1 . ?v1 a :C3 . ?v1 :p1 ?v2 . ?v3 a :C4 . ?v1 a :C2 };:C1 ⊑ :C2;78;∃-:p3٭٭.⊤ ⊑ ∀:p3٭٭.:C5٭٭,∃:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C8٭٭,:C6٭٭ ⊑ :C7٭٭,∃:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C5٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C6٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C6٭٭,:C6٭٭ ⊑ ∃:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ :C7٭٭,∃-:p3٭٭.⊤ ⊑ :C5٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C7٭٭,:C7٭٭ ⊑ ∃:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ :C6٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,:C7٭٭ ⊑ ∃:p3٭٭.:C5٭٭,:C7٭٭ ⊑ :C6٭٭,:C6٭٭ ⊑ ∃:p3٭٭.:C5٭٭,:C8٭٭ ⊑ ∃-:p3٭٭.:C6٭٭,∃-:p3٭٭.⊤ ⊑ :C8٭٭,:C8٭٭ ⊑ ∃-:p3٭٭.:C7٭٭,:C8٭٭ ⊑ :C5٭٭,:C5٭٭ ⊑ ∃-:p3٭٭.:C6٭٭,:C5٭٭ ⊑ ∃-:p3٭٭.:C7٭٭,:C5٭٭ ⊑ :C8٭٭
108;success;46;46;false;0;0;CONSTRUCT { ?v5 a :C1 . ?v5 :p4 ?v1 . ?v2 :p5 ?v1 . ?v5 a :C7 . ?v1 a :C4 . ?v2 a :C5 . ?v1 a :C6 } WHERE { ?v6 a :C3 . ?v1 :p1 ?v2 . :a1 a :C2 . ?v5 a :C1 . ?v1 a :C1 };∃-:p5.⊤ ⊑ :C7;268;∃-:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C6٭٭,∃-:p4٭٭.⊤ ⊑ :C6٭٭,:C1٭٭ ⊑ ∃:p4٭٭.:C6٭٭,:C6٭٭ ⊑ :C1٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p5٭٭.:C6٭٭,:C4٭٭ ⊑ ∃:p4٭٭.:C1٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p4٭٭.:C6٭٭,:C4٭٭ ⊑ ∃-:p4٭٭.:C1٭٭,:C7٭٭ ⊑ :C1٭٭,:C1٭٭ ⊑ ∃:p4٭٭.:C4٭٭,∃:p5٭٭.⊤ ⊑ ∃:p5٭٭.:C7٭٭,:C5٭٭ ⊑ ∃:p5٭٭.:C6٭٭,∃-:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C7٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p5٭٭.:C7٭٭,:C1٭٭ ⊑ ∃:p4٭٭.:C7٭٭,∃:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C4٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p4٭٭.:C6٭٭,:C6٭٭ ⊑ :C7٭٭,∃-:p5٭٭.⊤ ⊑ ∃:p4٭٭.:C7٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p4٭٭.:C1٭٭,∃-:p4٭٭.⊤ ⊑ ∃-:p4٭٭.:C7٭٭,∃-:p4٭٭.⊤ ⊑ :C1٭٭,:C6٭٭ ⊑ ∃-:p4٭٭.:C7٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p5٭٭.:C7٭٭,∃-:p5٭٭.⊤ ⊑ ∃:p4٭٭.:C1٭٭,:C4٭٭ ⊑ ∃:p4٭٭.:C4٭٭,:C6٭٭ ⊑ ∃-:p4٭٭.:C1٭٭,:C6٭٭ ⊑ ∃-:p5٭٭.:C5٭٭,:C4٭٭ ⊑ :C7٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p5٭٭.:C1٭٭,:C4٭٭ ⊑ ∃-:p4٭٭.:C7٭٭,∃-:p5٭٭.⊤ ⊑ :C4٭٭,:C6٭٭ ⊑ :C4٭٭,∃-:p5٭٭.⊤ ⊑ ∃-:p5٭٭.:C5٭٭,∃-:p4٭٭.⊤ ⊑ ∃-:p4٭٭.:C1٭٭,∃:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C7٭٭,:C7٭٭ ⊑ ∃:p4٭٭.:C4٭٭,∃:p4٭٭.⊤ ⊑ ∀-:p4٭٭.:C1٭٭,:C1٭٭ ⊑ ∃:p4٭٭.:C1٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p5٭٭.:C4٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p4٭٭.:C4٭٭,∃-:p5٭٭.⊤ ⊑ ∃:p4٭٭.:C6٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p4٭٭.:C4٭٭,:C1٭٭ ⊑ :C7٭٭,∃-:p5٭٭.⊤ ⊑ :C7٭٭,∃-:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C1٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p4٭٭.:C7٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p4٭٭.:C1٭٭,∃-:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C4٭٭,:C4٭٭ ⊑ ∃:p4٭٭.:C7٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p5٭٭.:C4٭٭,:C7٭٭ ⊑ ∃:p4٭٭.:C1٭٭,∃:p5٭٭.⊤ ⊑ ∀-:p5٭٭.:C5٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p4٭٭.:C7٭٭,:C6٭٭ ⊑ ∃:p4٭٭.:C6٭٭,∃-:p5٭٭.⊤ ⊑ :C1٭٭,∃-:p4٭٭.⊤ ⊑ :C4٭٭,:C5٭٭ ⊑ ∃:p5٭٭.:C1٭٭,:C4٭٭ ⊑ ∃:p4٭٭.:C6٭٭,:C4٭٭ ⊑ :C6٭٭,∃-:p4٭٭.⊤ ⊑ ∃-:p5٭٭.:C5٭٭,∃-:p5٭٭.⊤ ⊑ ∀:p4٭٭.:C1٭٭,∃-:p5٭٭.⊤ ⊑ ∃-:p4٭٭.:C7٭٭,:C5٭٭ ⊑ ∃:p5٭٭.:C4٭٭,∃:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C1٭٭,∃:p5٭٭.⊤ ⊑ ∃:p5٭٭.:C6٭٭,:C6٭٭ ⊑ ∃:p4٭٭.:C4٭٭,:C6٭٭ ⊑ ∃:p4٭٭.:C1٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p5٭٭.:C6٭٭,∃-:p5٭٭.⊤ ⊑ :C6٭٭,∃:p4٭٭.⊤ ⊑ ∀-:p4٭٭.:C7٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p5٭٭.:C1٭٭,∃:p5٭٭.⊤ ⊑ :C5٭٭,∃-:p5٭٭.⊤ ⊑ ∃-:p4٭٭.:C1٭٭,∃-:p4٭٭.⊤ ⊑ :C7٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p4٭٭.:C7٭٭,∃:p4٭٭.⊤ ⊑ :C7٭٭,∃:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C6٭٭,∃-:p5٭٭.⊤ ⊑ ∃:p4٭٭.:C4٭٭,∃:p4٭٭.⊤ ⊑ :C1٭٭,:C4٭٭ ⊑ :C1٭٭,∃:p5٭٭.⊤ ⊑ ∃:p5٭٭.:C1٭٭,:C7٭٭ ⊑ ∃:p4٭٭.:C7٭٭,∃:p4٭٭.⊤ ⊑ ∀-:p5٭٭.:C5٭٭,∃:p5٭٭.⊤ ⊑ ∃:p5٭٭.:C4٭٭,:C6٭٭ ⊑ ∃:p4٭٭.:C7٭٭,:C5٭٭ ⊑ ∃:p5٭٭.:C7٭٭,:C7٭٭ ⊑ ∃:p4٭٭.:C6٭٭,:C4٭٭ ⊑ ∃-:p5٭٭.:C5٭٭
109;success;15;15;false;0;0;CONSTRUCT { ?v5 :p3 ?v3 . ?v1 a :C6 . ?v5 a :C8 . :a6 a :C10 . :a5 a :C7 } WHERE { ?v1 a :C1 . :a1 :p1 ?v1 . ?v2 a :C2 . ?v5 a :C5 . :a2 a :C3 . ?v3 a :C4 };:C4 ⊑ :C7;78;∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ :C8٭٭
110;success;15;15;false;0;0;CONSTRUCT { ?v1 :p2 ?v3 . :a2 a :C7 . ?v2 a :C9 . ?v2 a :C5 . ?v4 a :C2 . ?v4 a :C8 } WHERE { ?v3 a :C1 . ?v3 a :C5 . ?v2 a :C2 . ?v4 a :C3 . ?v1 :p1 ?v2 };∃:p1.⊤ ⊑ ∃:p1.:C3;112;:C5٭٭ ⊑ :C9٭٭,:C9٭٭ ⊑ :C5٭٭,:C2٭٭ ⊑ :C8٭٭,:C8٭٭ ⊑ :C2٭٭
111;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C5 . ?v2 a :C6 . ?v6 a :C7 . ?v5 :p4 ?v3 . ?v6 a :C5 } WHERE { ?v1 a :C1 . ?v4 :p2 ?v5 . ?v4 a :C4 . ?v4 a :C3 . ?v6 a :C1 . ?v1 a :C2 . ?v2 :p1 ?v3 };:C1 ⊑ :C4;50;:C5٭٭ ⊑ :C7٭٭,:C7٭٭ ⊑ :C5٭٭
112;success;15;15;false;0;0;CONSTRUCT { ?v1 a :C1 . ?v2 a :C4 . ?v1 :p4 ?v3 . ?v1 a :C5 . ?v2 a :C6 . :a1 a :C2 } WHERE { ?v1 a :C1 . :a1 a :C4 . ?v1 :p1 ?v2 . ?v2 a :C3 . ?v2 :p2 ?v3 . ?v1 a :C2 };∃-:p1.⊤ ⊑ ∀:p1.:C3;112;∃:p4٭٭.⊤ ⊑ ∀-:p4٭٭.:C1٭٭,∃:p4٭٭.⊤ ⊑ ∀-:p4٭٭.:C5٭٭,∃:p4٭٭.⊤ ⊑ :C5٭٭,∃:p4٭٭.⊤ ⊑ :C1٭٭,∃-:p4٭٭.⊤ ⊑ ∃-:p4٭٭.:C5٭٭,:C5٭٭ ⊑ :C1٭٭,:C6٭٭ ⊑ :C4٭٭,∃-:p4٭٭.⊤ ⊑ ∃-:p4٭٭.:C1٭٭,:C1٭٭ ⊑ :C5٭٭,:C4٭٭ ⊑ :C6٭٭
113;success;0;0;false;0;0;CONSTRUCT { ?v1 a :C3 . ?v2 a :C5 . :a5 a :C6 . ?v4 a :C7 . ?v4 a :C8 } WHERE { ?v1 a :C1 . ?v3 :p1 ?v1 . ?v2 a :C1 . ?v4 a :C2 . ?v1 :p2 :a4 };:C7 ⊑ :C5;20;:C7٭٭ ⊑ :C8٭٭,:C3٭٭ ⊑ :C5٭٭,:C8٭٭ ⊑ :C7٭٭
114;success;15;15;false;0;0;CONSTRUCT { ?v3 a :C8 . ?v3 a :C6 . ?v7 :p3 ?v4 . ?v6 :p4 ?v3 . ?v4 a :C7 . ?v2 a :C6 } WHERE { ?v1 a :C1 . ?v3 a :C1 . ?v4 a :C3 . ?v1 :p1 ?v2 . ?v6 :p2 ?v7 };∃-:p3.⊤ ⊑ ∀:p3.:C1;134;∃-:p3٭٭.⊤ ⊑ ∀:p4٭٭.:C8٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p4٭٭.:C8٭٭,∃-:p4٭٭.⊤ ⊑ :C6٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p3٭٭.:C7٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p4٭٭.:C6٭٭,∃-:p4٭٭.⊤ ⊑ :C8٭٭,∃:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C6٭٭,:C8٭٭ ⊑ :C6٭٭,∃:p3٭٭.⊤ ⊑ ∃:p3٭٭.:C7٭٭,∃-:p3٭٭.⊤ ⊑ :C7٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p3٭٭.:C7٭٭,∃:p4٭٭.⊤ ⊑ ∃:p4٭٭.:C8٭٭,∃-:p4٭٭.⊤ ⊑ ∀:p4٭٭.:C6٭٭
115;success;46;46;false;0;0;CONSTRUCT { ?v4 :p1 ?v2 . ?v2 a :C7 . ?v2 :p3 ?v1 . ?v3 a :C10 . ?v2 a :C8 . ?v4 :p2 ?v1 . ?v3 a :C9 } WHERE { ?v1 a :C1 . ?v2 a :C4 . ?v1 a :C3 . ?v3 a :C5 . ?v4 a :C6 . ?v1 a :C2 };∃:p1.⊤ ⊑ ∃:p1.:C6;366;∃-:p2٭٭.⊤ ⊑ ∃-:p3٭٭.:C7٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ ∃-:p3٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,:C7٭٭ ⊑ :C8٭٭,:C10٭٭ ⊑ :C9٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭,∃:p2٭٭.⊤ ⊑ ∃:p1٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p1٭٭.:C8٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ :C7٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C7٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C8٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p1٭٭.:C7٭٭,∃-:p1٭٭.⊤ ⊑ :C8٭٭,∃-:p1٭٭.⊤ ⊑ :C7٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p1٭٭.:C8٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C8٭٭,:C9٭٭ ⊑ :C10٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∃:p1٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p3٭٭.:C8٭٭,∃:p3٭٭.⊤ ⊑ :C8٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C8٭٭,:C8٭٭ ⊑ :C7٭٭,∃-:p3٭٭.⊤ ⊑ ∀:p1٭٭.:C7٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p1٭٭.:C7٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C7٭٭
116;success;15;15;false;0;0;CONSTRUCT { ?v1 :p1 ?v3 . ?v1 a :C8 . ?v1 :p1 ?v2 . ?v2 :p2 ?v1 . ?v3 a :C7 } WHERE { ?v1 a :C1 . ?v3 :p1 ?v1 . ?v2 a :C2 . ?v3 a :C4 . ?v3 a :C3 };:C1 ⊑ :C3;82;∃-:p2٭٭.⊤ ⊑ ∃:p1٭٭.:C7٭٭,∃-:p2٭٭.⊤ ⊑ :C8٭٭,∃:p2٭٭.⊤ ⊑ ∃:p2٭٭.:C8٭٭,∃-:p1٭٭.⊤ ⊑ ∃-:p1٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∃-:p1٭٭.:C8٭٭,∃-:p2٭٭.⊤ ⊑ ∀:p2٭٭.:C8٭٭,:C8٭٭ ⊑ ∃:p1٭٭.:C7٭٭,∃:p1٭٭.⊤ ⊑ ∃:p1٭٭.:C7٭٭,∃:p1٭٭.⊤ ⊑ ∀-:p1٭٭.:C8٭٭,∃:p2٭٭.⊤ ⊑ ∀-:p1٭٭.:C8٭٭,:C7٭٭ ⊑ ∃-:p1٭٭.:C8٭٭,∃-:p1٭٭.⊤ ⊑ ∀:p2٭٭.:C8٭٭,∃:p1٭٭.⊤ ⊑ :C8٭٭
117;success;15;15;false;0;0;CONSTRUCT { ?v7 a :C9 . ?v7 a :C11 . ?v3 a :C10 . ?v5 a :C7 . ?v6 a :C8 . ?v5 a :C6 . ?v3 :p3 ?v1 } WHERE { ?v1 a :C1 . ?v4 a :C3 . ?v7 a :C5 . ?v5 :p2 ?v6 . ?v3 a :C2 . ?v5 a :C4 };:C8 ⊑ :C1;152;:C9٭٭ ⊑ :C11٭٭,:C6٭٭ ⊑ :C7٭٭,∃:p3٭٭.⊤ ⊑ :C10٭٭,∃:p3٭٭.⊤ ⊑ ∀-:p3٭٭.:C10٭٭,:C7٭٭ ⊑ :C6٭٭,∃-:p3٭٭.⊤ ⊑ ∃-:p3٭٭.:C10٭٭,:C11٭٭ ⊑ :C9٭٭
